feature,mean_shap
bureau_AMT_CREDIT_SUM_DEBT_mean,-0.0048469997923112655
bureau_CNT_CREDIT_PROLONG_mean,-5.910997076051959e-06
prevapp_NFLAG_LAST_APPL_IN_DAY_var,-1.0615692805408356e-05
FLAG_DOCUMENT_4,0.0
prevapp_AMT_ANNUITY_sum,-0.00010017340079430099
prevapp_DAYS_FIRST_DUE_mean,9.772033725150516e-05
DAYS_BIRTH,-0.013893179931315126
bureau_CREDIT_DAY_OVERDUE_max,0.0
DAYS_EMPLOYED,-0.009483291886732904
prevapp_AMT_GOODS_PRICE_min,-7.621982249316617e-05
FLAG_PHONE,-0.4353844319348405
prevapp_DAYS_DECISION_sum,-0.0002856235834769511
FLAG_DOCUMENT_18,1.2996349296692877e-06
bureau_AMT_CREDIT_SUM_LIMIT_sum,-4.109473421874268e-05
AMT_REQ_CREDIT_BUREAU_QRT,-0.02864411659296533
prevapp_RATE_INTEREST_PRIMARY_sum,-2.1855534281671902e-06
FLAG_DOCUMENT_8,-0.010237965421708848
FLAG_DOCUMENT_11,0.0
prevapp_DAYS_FIRST_DRAWING_min,-0.021612309855329918
prevapp_CNT_PAYMENT_min,0.0010174311845137418
CNT_FAM_MEMBERS,-0.07899832090963027
bureau_AMT_CREDIT_SUM_OVERDUE_max,-0.00028711799751953196
prevapp_AMT_APPLICATION_min,0.00013149405941426996
bureau_DAYS_CREDIT_sum,-0.0012496745366897871
prevapp_RATE_INTEREST_PRIVILEGED_sum,0.0
prevapp_SK_ID_PREV_mean,-1.0669309415091098e-06
bureau_SK_ID_BUREAU_min,4.933675641263301e-05
prevapp_AMT_ANNUITY_min,-0.0034498099391114985
SK_ID_CURR,-0.0005058491512958185
prevapp_RATE_DOWN_PAYMENT_mean,-0.0015029864271622877
NAME_EDUCATION_TYPE,-0.1679747122106062
prevapp_AMT_APPLICATION_mean,-0.00011009350720489045
FLAG_DOCUMENT_3,-0.2529973590374871
AMT_REQ_CREDIT_BUREAU_MON,-0.011609803821425216
OCCUPATION_TYPE,-0.08923933624275504
prevapp_AMT_ANNUITY_mean,-0.0027224327202843798
prevapp_AMT_GOODS_PRICE_sum,0.0
NAME_CONTRACT_TYPE,-0.01100802724048089
AMT_REQ_CREDIT_BUREAU_WEEK,-1.7968879620794102e-05
prevapp_DAYS_TERMINATION_min,-0.0010470683436599778
FLAG_MOBIL,0.0
prevapp_DAYS_FIRST_DRAWING_var,0.003525493155124302
LIVE_CITY_NOT_WORK_CITY,0.0
prevapp_AMT_CREDIT_min,-5.92538829628826e-05
prevapp_NFLAG_LAST_APPL_IN_DAY_min,0.0
prevapp_DAYS_FIRST_DUE_var,0.0001070479891394955
bureau_AMT_CREDIT_SUM_DEBT_max,-0.0007401803254254562
prevapp_HOUR_APPR_PROCESS_START_sum,-9.02381751487601e-06
FLAG_DOCUMENT_10,0.0
DEF_60_CNT_SOCIAL_CIRCLE,-0.043978784857968495
DAYS_ID_PUBLISH,-0.012459658406102555
prevapp_AMT_APPLICATION_var,-3.901154920565723e-05
FLAG_EMP_PHONE,-0.009356282922956509
bureau_AMT_CREDIT_SUM_DEBT_sum,-0.021021514941516634
OBS_30_CNT_SOCIAL_CIRCLE,-0.11206010849937915
FLAG_DOCUMENT_17,-9.166264483758032e-07
prevapp_AMT_CREDIT_var,0.0
prevapp_DAYS_LAST_DUE_1ST_VERSION_max,-0.01934024943569043
FLAG_DOCUMENT_16,-9.220604063009664e-05
FLAG_DOCUMENT_13,0.0
prevapp_HOUR_APPR_PROCESS_START_min,1.5254572623573442e-06
prevapp_SK_ID_PREV_sum,0.00013736745574315833
prevapp_AMT_DOWN_PAYMENT_mean,-0.011112947350847975
prevapp_DAYS_LAST_DUE_1ST_VERSION_mean,-0.0004776895257960933
NAME_FAMILY_STATUS,-0.19743987095377122
prevapp_NFLAG_INSURED_ON_APPROVAL_var,-0.027965084646587975
prevapp_NFLAG_INSURED_ON_APPROVAL_min,-0.06493845222671157
FLAG_DOCUMENT_15,0.0
